STUDY,STUDY TITLE ,STUDY DESCRIPTION,DATASET,DATASET TITLE,DATASET DESCRIPTION,SAMPLE TECHNOLOGY
EGAS00001000006,Renal Cancer Exome Sequencing,Agilent whole exome hybridisation capture will be performed on genomic DNA derived from 25 renal cancers and matched normal DNA from the same patients. Three lanes of Illumina GA sequencing will be performed on the resulting 50 exome libraries and mapped to build 37 of the human reference genome to facilitate the identification of novel cancer genes.,EGAD00001000001,Exome sequencing identifies frequent mutation of the SWI/SNF complex gene PBRM1 in renal carcinoma,Exome sequencing identifies frequent mutation of the SWI/SNF complex gene PBRM1 in renal carcinoma, 
EGAS00001000008,Whole Genome Sequencing of hiPS cells,Human induced pluripotent stem (hiPS) cells hold great promise for regenerative medicine. Safety issues of use of hiPS cells however remain to be addressed. One of such issues is mutations derived from somatic donor cells and introduced during genome manipulation. We sequence whole genomes of hiPS cells and analyzed mutations. Our study brings hiPS cell technology one step closer to application to regenerative medicine.,EGAD00001000362,Whole Genome Sequencing of hiPS cells,Human induced pluripotent stem (hiPS) cells hold great promise for regenerative medicine. Safety issues of use of hiPS cells however remain to be addressed. One of such issues is mutations derived from somatic donor cells and introduced during genome manipulation. We sequence whole genomes of hiPS cells and analyzed mutations. Our study brings hiPS cell technology one step closer to application to regenerative medicine., Illumina HiSeq 2000;
EGAS00001000009,SCLC,"The aim of this study is to use sequence data generated from 500 bp paired end reads using the Illumina platform to characterise the breakpoints of chromosomal translocations, amplifications and deletions at high resolution (to the bp).",EGAD00001000002,Massive genomic rearrangement acquired in a single catastrophic event during cancer development,Massive genomic rearrangement acquired in a single catastrophic event during cancer development, 
EGAS00001000011,CLL cancer Sample Sequencing,"Genomic libraries (500 bps) will be generated from  total genomic DNA derived from CLL cancer samples and subjected to total of eight lanes of 37 bp, paired end sequencing on the llumina GA. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000004,CLL cancer Sample Sequencing,CLL cancer Sample Sequencing," Illumina Genome Analyzer II, Illumina Genome Analyzer"
EGAS00001000011,CLL cancer Sample Sequencing,"Genomic libraries (500 bps) will be generated from  total genomic DNA derived from CLL cancer samples and subjected to total of eight lanes of 37 bp, paired end sequencing on the llumina GA. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000002,Massive genomic rearrangement acquired in a single catastrophic event during cancer development,Massive genomic rearrangement acquired in a single catastrophic event during cancer development, 
EGAS00001000012,Various Cancer Fusion Gene Sequencing,"Genomic libraries (500 bps) will be generated from  total genomic DNA derived from 50 commomon epithelial cancer samples and subjected to total of eight lanes of 37 bp, paired end sequencing on the llumina GA. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000005,Various Cancer Fusion Gene Sequencing,Various Cancer Fusion Gene Sequencing," Illumina Genome Analyzer II;, Illumina Genome Analyzer II"
EGAS00001000012,Various Cancer Fusion Gene Sequencing,"Genomic libraries (500 bps) will be generated from  total genomic DNA derived from 50 commomon epithelial cancer samples and subjected to total of eight lanes of 37 bp, paired end sequencing on the llumina GA. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000002,Massive genomic rearrangement acquired in a single catastrophic event during cancer development,Massive genomic rearrangement acquired in a single catastrophic event during cancer development, 
EGAS00001000013,Osteosarcoma Sequencing,"Genomic libraries (500 bps) will be generated from  total genomic DNA derived from 25 osetocarcinoma samples and subjected to total of three lanes of 37 bp paired end sequencing on the llumina GA per sample. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000007,Osteosarcoma Sequencing,Osteosarcoma Sequencing," Illumina Genome Analyzer II;, Illumina Genome Analyzer II"
EGAS00001000013,Osteosarcoma Sequencing,"Genomic libraries (500 bps) will be generated from  total genomic DNA derived from 25 osetocarcinoma samples and subjected to total of three lanes of 37 bp paired end sequencing on the llumina GA per sample. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000002,Massive genomic rearrangement acquired in a single catastrophic event during cancer development,Massive genomic rearrangement acquired in a single catastrophic event during cancer development, 
EGAS00001000014,CLL Cancer Whole Genome Sequencing,"Genomic libraries (500 bps) will be generated from  total genomic DNA derived from a range of cancer samples and subjected paired end sequencing on the llumina GA. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000013,CLL Cancer Whole Genome Sequencing,CLL Cancer Whole Genome Sequencing, Illumina Genome Analyzer II
EGAS00001000014,CLL Cancer Whole Genome Sequencing,"Genomic libraries (500 bps) will be generated from  total genomic DNA derived from a range of cancer samples and subjected paired end sequencing on the llumina GA. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000002,Massive genomic rearrangement acquired in a single catastrophic event during cancer development,Massive genomic rearrangement acquired in a single catastrophic event during cancer development, 
EGAS00001000016,The GENCODE exome   sequencing the complete human exome,The aim of this study was to construct and assess a hybrid capture product which targeted the complete human GENCODE exome.,EGAD00001000003,Gencode Exome Pilot,Gencode Exome Pilot, Illumina Genome Analyzer II
EGAS00001000017,Familial Melanoma Sequencing,The sequence of familial melanoma cases to identify candidate susceptibility alleles,EGAD00001000016,Familial Melanoma Sequencing,Familial Melanoma Sequencing," Illumina HiSeq 2000, Illumina Genome Analyzer II, Illumina HiSeq 2000;"
EGAS00001000020,Genetic variation in Kuusamo,"The aim of this study is to characterize as completely as possible the genetic variation and structure of Kuusamo and surrounding regions. We will perform low coverage, whole genome sequencing in a relatively limited number (approximately 200) of individuals from the FINRISK study both of whose parents are born in Kuusamo, Posio or Taivalkoski. Sequencing will be performed at the Wellcome Trust Sanger Institute (WTSI). We have previously shown using simulations and genome wide SNP data that the genetic characteristics agree with known genealogical data, and that approximately 200 individuals suffice to capture the majority of the genetic variation in this population.

We have also developed methods for long-range haplotyping and long-range imputation, which are more accurate than traditional methods. This will allow us to identify a majority of the founder haplotypes in this population. The information from the haplotypes identified in this study can be used in other studies to impute from genome-wide SNP data the full genome sequence of samples ascertained for specific phenotypes.",EGAD00001000055,Genetic variation in Kuusamo,Genetic variation in Kuusamo," Illumina HiSeq 2000, Illumina HiSeq 2000;"
EGAS00001000020,Genetic variation in Kuusamo,"The aim of this study is to characterize as completely as possible the genetic variation and structure of Kuusamo and surrounding regions. We will perform low coverage, whole genome sequencing in a relatively limited number (approximately 200) of individuals from the FINRISK study both of whose parents are born in Kuusamo, Posio or Taivalkoski. Sequencing will be performed at the Wellcome Trust Sanger Institute (WTSI). We have previously shown using simulations and genome wide SNP data that the genetic characteristics agree with known genealogical data, and that approximately 200 individuals suffice to capture the majority of the genetic variation in this population.

We have also developed methods for long-range haplotyping and long-range imputation, which are more accurate than traditional methods. This will allow us to identify a majority of the founder haplotypes in this population. The information from the haplotypes identified in this study can be used in other studies to impute from genome-wide SNP data the full genome sequence of samples ascertained for specific phenotypes.",EGAD00001000299,Kuusamo whole exome sequencing,"Whole exome sequencing of samples selected from the Finrisk sample collection. The samples sequenced in this study have all been collected in Kuusamo, Finland.", Illumina HiSeq 2000;
EGAS00001000023,Identifying autosomal recessive mutations causing neurological disorders,"The objective of this study is to resequence of targeted intervals containing autosomal recessive variants causing neurological disorders in consanguineous pedigrees. Using homozygosity mapping, three intervals of very different sizes have previously been unambiguously mapped for three different neurological diseases: 2.4Mb, 8Mb and 14.3Mb in size, for Microlissencephaly, Severe Mental Retardation and Complicated hereditary spastic paraplegia respectively. This study is a pilot to assess how well custom targeted resequencing performs across a broad size range of intervals. The study design is to use a different custom capture probe set for each interval, pulldown from a single patient from each family, and sequence 1 lane using Illumina paired-reads for each sample. Candidate variants will be followed up in the families themselves, and in patients with similar phenotypes from outbred populations.",EGAD00001000340,Identifying autosomal recessive mutations causing neurological disorders,"The objective of this study is to resequence of targeted intervals containing autosomal recessive variants causing neurological disorders in consanguineous pedigrees. Using homozygosity mapping, three intervals of very different sizes have previously been unambiguously mapped for three different neurological diseases: 2.4Mb, 8Mb and 14.3Mb in size, for Microlissencephaly, Severe Mental Retardation and Complicated hereditary spastic paraplegia respectively. This study is a pilot to assess how well custom targeted resequencing performs across a broad size range of intervals. The study design is to use a different custom capture probe set for each interval, pulldown from a single patient from each family, and sequence 1 lane using Illumina paired-reads for each sample. Candidate variants will be followed up in the families themselves, and in patients with similar phenotypes from outbred populations", Illumina Genome Analyzer II;
EGAS00001000024,Piloting exome resequencing in consanguineous families with homozygosity mapping intervals,This pilot study aims to generate pilot data to inform future study designs in consanguineous families or inbred populations by resequencing the exome of six individuals from five families with neurodevelopmental diseases. For all of these families a single mapping interval containing the causal variant has previously been identified.,EGAD00001000341,Piloting exome resequencing in consanguineous families with homozygosity mapping intervals,This pilot study aims to generate pilot data to inform future study designs in consanguineous families or inbred populations by resequencing the exome of six individuals from five families with neurodevelopmental diseases. For all of these families a single mapping interval containing the causal variant has previously been identified., Illumina HiSeq 2000;
EGAS00001000025,Whole exome sequencing of Severe Insulin Resistant patients ,Illumina paired-end sequencing of whole- exome pulldown DNA from Severe Insulin Resistant patients.,EGAD00001000380,Whole exome sequencing of Severe Insulin Resistant patients.,Illumina paired-end sequencing of whole- exome pulldown DNA from Severe Insulin Resistant patients.," Illumina Genome Analyzer II;, Illumina HiSeq 2000;"
EGAS00001000026,Whole Exome Sequencing for Characterization of Disease Causing Mutations in two Pakistani Families Suffering from Autosomal Recessive Ocular Disorders ,"We propose to use whole exome Agilent solution
probes and paired end Illumina sequencing to sequence 4 individuals
from two families suffering from novel autosomal recessive disease
[microphthalmia, MOP (OMIM %251600) and non-syndromic persistent
hyperplastic primary vitreous, PHPV (OMIM %611311)]. Selected
candidate variants will subsequently be genotyped in the remaining
family members in Pakistan with the aim of identifying the rare
homozygous recessive mutations responsible for the disease phenotype.  This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/",EGAD00001000024,Whole Exome Sequencing for Characterization of Disease Causing Mutations in two Pakistani Families Suffering from Autosomal Recessive Ocular Disorders.,Whole Exome Sequencing for Characterization of Disease Causing Mutations in two Pakistani Families Suffering from Autosomal Recessive Ocular Disorders., Illumina Genome Analyzer II
EGAS00001000027,TMD AMLK Exome Study,Agilent whole exome hybridisation capture will be performed on genomic DNA derived from 20 Primary Acute Megakaryocytic Leukemia samples and matched normal DNA from the same patients. Three lanes of Illumina GA sequencing will be performed on the resulting 100 exome libraries and mapped to build 37 of the human reference genome to facilitate the identification of novel cancer genes,EGAD00001000070,TMD_AMLK Exome Study,TMD_AMLK Exome Study," Illumina HiSeq 2000, Illumina HiSeq 2000;"
EGAS00001000028,PV Exome Study,Agilent whole exome hybridisation capture will be performed on genomic DNA derived from 50 Polycythemia Vera Myeloproliferative Disease  samples and matched normal DNA from the same patients. Three lanes of Illumina GA sequencing will be performed on the resulting 100 exome libraries and mapped to build 37 of the human reference genome to facilitate the identification of novel cancer genes.,EGAD00001000123,Polycythemia Vera Myeloproliferative Disease exome sequencing,Polycythemia Vera Myeloproliferative Disease exome sequencing," Illumina HiSeq 2000, Illumina Genome Analyzer II, Illumina HiSeq 2000;"
EGAS00001000030,ADCC Rearrangement Screen,"Genomic libraries (500 bps) will be generated from  total genomic DNA derived from 25 adenoid cystic carcinoma samples and subjected to total of eight lanes of 37 bp, paired end sequencing on the llumina GA. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000062,ADCC Rearrangement Screen,ADCC Rearrangement Screen," Illumina HiSeq 2000, Illumina Genome Analyzer II"
EGAS00001000031,Matched breast cancer fusion gene study,"Genomic libraries (500 bps) will be generated from  total genomic DNA derived from 40 breast cancer samples and subjected to total of eight lanes of 37 bp, paired end sequencing on the llumina GA. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000138,Mutational processes moulding the genomes of 21 breast cancers,"The expression data for this study can be found here: 

http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1088/

and its SNP6 data can be found here:
http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1087/"," Illumina HiSeq 2000, Illumina Genome Analyzer II"
EGAS00001000031,Matched breast cancer fusion gene study,"Genomic libraries (500 bps) will be generated from  total genomic DNA derived from 40 breast cancer samples and subjected to total of eight lanes of 37 bp, paired end sequencing on the llumina GA. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000097,Matched breast cancer fusion gene study,Matched breast cancer fusion gene study, Illumina Genome Analyzer II
EGAS00001000032,Kaposi sarcoma exome,Agilent whole exome hybridisation capture will be performed on genomic DNA derived from Kaposi sarcoma cancer and matched normal DNA from the same patients. Next Generation sequencing will be performed on the resulting exome libraries and mapped to build 37 of the human reference genome to facilitate the identification of novel cancer genes,EGAD00001000071,Kaposi sarcoma exome,Kaposi sarcoma exome, Illumina HiSeq 2000
EGAS00001000033,1  Fanconi Anemia transformation to AML,"Genomic libraries (500 bps) will be generated from total genomic DNA derived from 7 Fanconi anemia (FA) derived Acute myeloid leukemia samples and subjected to total of two lanes of 50 bp, paired end sequencing on the llumina HiSeq. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000072,Fanconi Anemia transformation to AML,Fanconi Anemia transformation to AML, Illumina HiSeq 2000
EGAS00001000034,MDSMPN Rearrangement Screen,"Genomic libraries (500 bps) will be generated from total genomic DNA derived from 11 Myelodysplastic Myeloproliferative neoplasms (MDSMPN) and subjected to total of two lanes of 50 bp, paired end sequencing on the llumina HiSeq. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000073,MDSMPN Rearrangement Screen,MDSMPN Rearrangement Screen," Illumina HiSeq 2000, Illumina HiSeq 2000;"
EGAS00001000035,Sequencing Acute Myeloid Leukaemia ,"This project will aim at sequencing and analysing three samples from a patient with acute myeloid leukaemia (AML) with t(15;17) translocation (acute promyelocytic leukaemia). The patient was treated with standard chemotherapy and samples (blood and bone marrow) taken for minimal residual disease measured during and after chemotherapy.  2-3years later the patient presented a second AML containing inv (16).
In this project we will sequence both AML and normal genomes to find associated mutations This will allow unprecedented insights into the dynamics of appearance of secondary AML, since we will be able to use the MRD samples to track the emergence of the inv(16) leukaemia. We will also be able to distinguish whether the 2 leukaemias are clonally related or not. 
This project will entail sequencing and analysis of three samples (whole genome 30x coverage) using Hi-Seq. The funds from this grant will cover the cost of sequencing 9 lanes from the AML t(15;17) sample, 9 lanes from AML inv(16) sample and 8 lanes from the normal genome.",EGAD00001000124,Sequencing Acute Myeloid Leukaemia,Sequencing Acute Myeloid Leukaemia, Illumina HiSeq 2000
EGAS00001000036,Integrative Oncogenomics of Multiple Myeloma,Agilent whole exome hybridisation capture will be performed on genomic DNA derived from Multiple Myeloma patient DNA and matched normal DNA from the same patients. Two lanes of Illumina GA sequencing will be performed on the resulting exome libraries and mapped to build 37 of the human reference genome to facilitate the identification of novel cancer genes.,EGAD00010000395,Title not provided,Myeloma case sample genotype using Affymetrix SNP6.0, Affymetrix_SNP6
EGAS00001000036,Integrative Oncogenomics of Multiple Myeloma,Agilent whole exome hybridisation capture will be performed on genomic DNA derived from Multiple Myeloma patient DNA and matched normal DNA from the same patients. Two lanes of Illumina GA sequencing will be performed on the resulting exome libraries and mapped to build 37 of the human reference genome to facilitate the identification of novel cancer genes.,EGAD00001000339,"Somatic mutations, clonal architecture and genomic evolution in multiple myeloma","Multiple myeloma is an incurable plasma cell malignancy whose molecular pathogenesis is incompletely understood. We used whole exome sequencing, copy number profiling and cytogenetic to analyses 84 samples from 67 patients with myeloma. In addition to known myeloma genes, we identify new candidate genes, including truncations of SP140, ROBO1 and FAT3 and clustered missense mutations in EGR1. We find oncogenic mutations in cancer genes not previously implicated in myeloma, including SF3B1, PI3KCA and PTEN. We define diverse processes contributing to the mutational repertoire, including kataegis and somatic hypermutation. Most cases have at least one cluster of subclonal variants, including subclonal driver mutations, implying on-going tumor evolution. Serial samples revealed diverse patterns of clonal evolution, including linear evolution, differential clonal response and branching evolution. Our findings reveal the myeloma genome to be heterogeneous across patients and, within individual patients, to exhibit diversity in clonal admixture and dynamics in response to therapy."," Illumina Genome Analyzer II;, Illumina HiSeq 2000;"
EGAS00001000036,Integrative Oncogenomics of Multiple Myeloma,Agilent whole exome hybridisation capture will be performed on genomic DNA derived from Multiple Myeloma patient DNA and matched normal DNA from the same patients. Two lanes of Illumina GA sequencing will be performed on the resulting exome libraries and mapped to build 37 of the human reference genome to facilitate the identification of novel cancer genes.,EGAD00001000074,Integrative Oncogenomics of Multiple Myeloma,Integrative Oncogenomics of Multiple Myeloma," Illumina HiSeq 2000, Illumina Genome Analyzer II"
EGAS00001000037,Gastric and Esophageal tumour rearrangement screen,"Genomic libraries (500 bps) will be generated from total genomic DNA derived from gastric and esophageal tumours and subjected to total of two lanes of 50 bp, paired end sequencing on the llumina HiSeq. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000075,Gastric and Esophageal tumour rearrangement screen,Gastric and Esophageal tumour rearrangement screen, Illumina HiSeq 2000
EGAS00001000037,Gastric and Esophageal tumour rearrangement screen,"Genomic libraries (500 bps) will be generated from total genomic DNA derived from gastric and esophageal tumours and subjected to total of two lanes of 50 bp, paired end sequencing on the llumina HiSeq. Paired reads will be mapped to build 37 of the human reference genome to facilitate the generation of genome wide copy number information, and the identification of novel rearranged cancer genes and gene fusions.",EGAD00001000638,Somatic pseudogenes acquired during cancer development â€“ Whole Genome sequencing,Insertion of processed pseudogenes is known to occur in the germline but has not previously been observed in somatic cells. Formation of pseudogenes could represent a new class of mutation in cancers and a new source of potential driver events., Illumina HiSeq 2000;
EGAS00001000038,Chondrosarcoma Exome ,Agilent whole exome hybridisation capture will be performed on genomic DNA derived from Chondrosarcoma cancer and matched normal DNA from the same patients. Next Generation sequencing will be performed on the resulting exome libraries and mapped to build 37 of the human reference genome to facilitate the identification of novel cancer genes,EGAD00010000452,Title not provided,Chondrosarcoma case sample genotype using Affymetrix SNP6.0, Affymetrix_SNP6
EGAS00001000038,Chondrosarcoma Exome ,Agilent whole exome hybridisation capture will be performed on genomic DNA derived from Chondrosarcoma cancer and matched normal DNA from the same patients. Next Generation sequencing will be performed on the resulting exome libraries and mapped to build 37 of the human reference genome to facilitate the identification of novel cancer genes,EGAD00001000125,Chondrosarcoma Exome,Chondrosarcoma Exome," Illumina HiSeq 2000, Illumina HiSeq 2000;"
EGAS00001000038,Chondrosarcoma Exome ,Agilent whole exome hybridisation capture will be performed on genomic DNA derived from Chondrosarcoma cancer and matched normal DNA from the same patients. Next Generation sequencing will be performed on the resulting exome libraries and mapped to build 37 of the human reference genome to facilitate the identification of novel cancer genes,EGAD00001000358,"Frequent mutation of the major cartilage collagen gene, COL2A1, in chondrosarcoma","Chondrosarcoma (CHS) is a heterogeneous collection of malignant bone tumours and is the second most common primary malignancy of bone after osteosarcoma. Recent work has identified frequent, recurrent mutations in IDH1/2 in nearly half of central CHS. However, there has been little systematic genomic analysis of this tumour type and thus the contribution of other genes is unclear. Here we report comprehensive genomic analyses of 49 cases of CHS. We identified hypermutability of the major cartilage collagen COL2A1 with insertions, deletions and rearrangements identified in 37% of cases. The patterns of mutation were consistent with selection for variants likely to impair normal collagen biosynthesis. In addition we identified mutations in IDH1/2 (59%), TP53 (20%), the RB1 pathway (27%) and hedgehog signaling (22%).", Illumina HiSeq 2000;
EGAS00001000038,Chondrosarcoma Exome ,Agilent whole exome hybridisation capture will be performed on genomic DNA derived from Chondrosarcoma cancer and matched normal DNA from the same patients. Next Generation sequencing will be performed on the resulting exome libraries and mapped to build 37 of the human reference genome to facilitate the identification of novel cancer genes,EGAD00010000432,Title not provided,Chondrosarcoma case sample genotype using Affymetrix SNP6.0, 
EGAS00001000040,Exome sequencing of hyperplastic polyposis patients,"In this project we are sequencing the exomes of patients with hyperplastic polyposis, and tumours from these patients.",EGAD00001000015,Exome sequencing of hyperplastic polyposis patients.,Exome sequencing of hyperplastic polyposis patients.," Illumina HiSeq 2000, Illumina Genome Analyzer II, Illumina HiSeq 2000;"
EGAS00001000041,Disorders of growth and insulin action ,Illumina paired-end sequencing of whole- exome pulldown DNA from Severe Insulin Resistant patients.,EGAD00001000381,Disorders of growth and insulin action,Illumina paired-end sequencing of whole- exome pulldown DNA from Severe Insulin Resistant patients., Illumina HiSeq 2000;
EGAS00001000042,HER2 positive Breast Cancer ,We propose to definitively characterise the somatic genetics of HER2+ve breast cancer through generation of comprehensive catalogues of somatic mutations in a number of cases by high coverage genome sequencing coupled with integrated transcriptomic and methylation analyses.,EGAD00001000126,HER2 positive Breast Cancer,HER2 positive Breast Cancer, Illumina HiSeq 2000
EGAS00001000046,Mutational Screening of Human Acute Myleloid Leukaemia Samples,Characterization of somatic mutations in Acute Myeloid Leukaemia samples to identify whether they can be classified into three mutually exclusive groups.,EGAD00001000054,Mutational Screening of Human Acute Myleloid Leukaemia Samples,Mutational Screening of Human Acute Myleloid Leukaemia Samples, Illumina HiSeq 2000
EGAS00001000047,Whole Exome Sequencing of Permanent Neonatal Diabetes Patients,Whole Exome Sequencing of Permanent Neonatal Diabetes Patients,EGAD00001000382,Whole Exome Sequencing of Permanent Neonatal Diabetes Patients,Whole Exome Sequencing of Permanent Neonatal Diabetes Patients, Illumina HiSeq 2000;
EGAS00001000048,Paroxysmal neurological disorders,We are sequencing the exomes of patients with paroxysmal neurological disorders mainly focusing on migraine and epilepsy. Cases are collected from performance sites of members of the International Headache Genetics consortium and EuroEPINOMICS. Most cases have a strong family history. The study sample will include both cases and controls.,EGAD00001000021,Paroxysmal neurological disorders,Paroxysmal neurological disorders," Illumina HiSeq 2000, Illumina Genome Analyzer II"
EGAS00001000048,Paroxysmal neurological disorders,We are sequencing the exomes of patients with paroxysmal neurological disorders mainly focusing on migraine and epilepsy. Cases are collected from performance sites of members of the International Headache Genetics consortium and EuroEPINOMICS. Most cases have a strong family history. The study sample will include both cases and controls.,EGAD00001000108,Paroxysmal neurological disorders,Paroxysmal neurological disorders," Illumina HiSeq 2000, Illumina Genome Analyzer II, Illumina HiSeq 2000;"
EGAS00001000049,Exome sequencing in patients with Calcific Aortic Valve Stenosis,"The objective is to identify new genes involved in calcific aortic valve stenosis (CAVS) by screening the exome of at least 20 patients with familial CAVS. The recruitment of patients with CAVS has been achieved by lâ€™institut du thorax (Nantes, France). DNA from the selected patients has been analysed by exome capture (Agilent SureSelect) and massively parallel sequencing (Illumina). The data generated by this project will lead to the identification of candidate genes involved in CAVS, which can be further screened for mutation in additional patients with CAVS.",EGAD00001000053,Exome sequencing in patients with Calcific Aortic Valve Stenosis,Exome sequencing in patients with Calcific Aortic Valve Stenosis, Illumina HiSeq 2000
EGAS00001000052,PAS Pedigrees: Identification of novel genetic variants contributing to cardiovascular disease in pedigrees with premature atherosclerosis.,"The heritability of CVD has been estimated to be between 40 and 55%. Due to the low MAF, PAS-causing mutations cannot be identified by indirect genotyping because their presence cannot be inferred from common haplotypes, as has been done successfully to uncover common risk variants by GWAS. It has been shown by Ng et al that the causative gene for rare syndromes can be unequivocally identified by sequencing the exomes of only four cases and eight controls. We expect exome sequencing to result in a high number of mutations and non-causitive coding variants.",EGAD00001000017,PAS Pedigrees: Identification of novel genetic variants contributing to cardiovascular disease in pedigrees with premature atherosclerosis.,PAS Pedigrees: Identification of novel genetic variants contributing to cardiovascular disease in pedigrees with premature atherosclerosis.," Illumina HiSeq 2000, Illumina Genome Analyzer II"
EGAS00001000053,Investigation of the genetic basis of the rare syndrome Post-Transfusion Purpura (PTP),The Post-Transfusion Pupura (PTP) syndrome although rare has severe side effects for 5-10 cases per annum in the UK as a result of transfusion. High quality DNA has been isolated from either whole blood or from cryopreserved mononuclear cells of 4 patients in order to study our postulation that the condition is caused by a loss-of-function mutation in a specific gene.,EGAD00001000026,Investigation of the genetic basis of the rare syndrome Post-Transfusion Purpura (PTP),Investigation of the genetic basis of the rare syndrome Post-Transfusion Purpura (PTP), Illumina Genome Analyzer II
EGAS00001000054,Identifying causative mutations for Thrombocytopenia with Absent Radii,"Thrombocytopenia with Absent Radii is an inherited disorder that manifests itself with major limb skeletal abnormalities and low platelet count (and therefore a bleeding diathesis). The syndrome is well-characterised and defined phenotypically and there is a well-established database of UK-based families affected with ths disorder. The causative mutation for the disorder is yet to be identified. If known, it would allow for pre-natal screening and counselling avoiding life-long care for patients who are affected and are therefore severely disabled. We postulate that exon sequencing of 4 unrelated affected individuals would give enough power to narrow down potential candidate mutations which would thereafter be confirmed using DNA from other affected families.",EGAD00001000018,Identifying causative mutations for Thrombocytopenia with Absent Radii,Identifying causative mutations for Thrombocytopenia with Absent Radii, Illumina Genome Analyzer II
EGAS00001000055,Analysis of genomic integrity of disease corrected human induced pluripotent stem cells by exome sequencing,"Four human cell lines, one fibroblast cell line, two induced pluripotent stem cell lines (one by lentiviral and the other by sendai viral reprogramming) and one muttion-corrected line, will be analyzed by exome sequencing to find changes during reprogramming and genomic modification.",EGAD00001000030,Analysis of genomic integrity of disease-corrected human induced pluripotent stem cells by exome sequencing,Analysis of genomic integrity of disease-corrected human induced pluripotent stem cells by exome sequencing, Illumina HiSeq 2000
EGAS00001000055,Analysis of genomic integrity of disease corrected human induced pluripotent stem cells by exome sequencing,"Four human cell lines, one fibroblast cell line, two induced pluripotent stem cell lines (one by lentiviral and the other by sendai viral reprogramming) and one muttion-corrected line, will be analyzed by exome sequencing to find changes during reprogramming and genomic modification.",EGAD00001000086,Analysis of genomic integrity of disease-corrected human induced pluripotent stem cells by exome sequencing,Analysis of genomic integrity of disease-corrected human induced pluripotent stem cells by exome sequencing, Illumina HiSeq 2000
EGAS00001000057,An exome sequencing pilot study of HIV elite long term non progressors and rapid progressors,A pilot study examining genetic determinants associated with elite long term non progression and rapid progression using exome sequencing of individuals at the extremes of the distribution of HIV control and progression.,EGAD00001000087,An exome sequencing pilot study of HIV elite-long term non progressors and rapid progressors,An exome sequencing pilot study of HIV elite-long term non progressors and rapid progressors, Illumina HiSeq 2000
EGAS00001000057,An exome sequencing pilot study of HIV elite long term non progressors and rapid progressors,A pilot study examining genetic determinants associated with elite long term non progression and rapid progression using exome sequencing of individuals at the extremes of the distribution of HIV control and progression.,EGAD00001000047,"An exome sequencing pilot study of HIV elite-long term non progressors and rapid progressors.

**ACCESS TO THIS DATASET IS ONLY PROVIDED FOR HIV RELATED RESEARCH**","An exome sequencing pilot study of HIV elite-long term non progressors and rapid progressors.

**ACCESS TO THIS DATASET IS ONLY PROVIDED FOR HIV RELATED RESEARCH**"," Illumina HiSeq 2000, Illumina HiSeq 2000;"
